[2023-08-20 12:28:10,640 | train.py:226 | INFO] -> Preparing dataloaders...
[2023-08-20 12:28:10,640 | train.py:275 | INFO] -> Using full train dataset
[2023-08-20 12:28:11,479 | train.py:303 | INFO] -> Using full val dataset
[2023-08-20 12:28:12,078 | train.py:228 | INFO] -> Dataloaders ready.
[2023-08-20 12:28:12,078 | train.py:232 | INFO] -> Using chekpoint hash 0c9f995e43196f7406013adbf0db21d05aea82f6, starting from epoch 0
[2023-08-20 12:28:12,078 | train.py:321 | INFO] -> Starting training...
[2023-08-20 12:28:12,078 | train.py:323 | INFO] -> Epoch 0
[2023-08-20 13:12:09,713 | train.py:447 | INFO] -> Training loss: 6.974145303319578
[2023-08-20 13:12:09,720 | train.py:448 | INFO] -> Training RDS: 0.4664923776060207
[2023-08-20 13:12:09,720 | train.py:449 | INFO] -> Training MA: 108.54376274461616
[2023-08-20 13:14:47,317 | train.py:530 | INFO] -> Validation loss: 8.629967005965916
[2023-08-20 13:14:47,317 | train.py:532 | INFO] -> Validation RDS: 0.65367829758827
[2023-08-20 13:14:47,317 | train.py:534 | INFO] -> Validation MA: 70.31346230637537
[2023-08-20 13:14:47,319 | train.py:323 | INFO] -> Epoch 1
[2023-08-20 13:58:08,920 | train.py:447 | INFO] -> Training loss: 4.99828690615691
[2023-08-20 13:58:08,923 | train.py:448 | INFO] -> Training RDS: 0.6038061925469468
[2023-08-20 13:58:08,923 | train.py:449 | INFO] -> Training MA: 77.66660872529087
[2023-08-20 14:00:32,598 | train.py:530 | INFO] -> Validation loss: 13.775742673166267
[2023-08-20 14:00:32,598 | train.py:532 | INFO] -> Validation RDS: 0.6622901824239182
[2023-08-20 14:00:32,598 | train.py:534 | INFO] -> Validation MA: 68.08775544275431
[2023-08-20 14:00:32,600 | train.py:328 | INFO] -> Saving checkpoint...
[2023-08-20 14:00:32,954 | train.py:323 | INFO] -> Epoch 2
[2023-08-20 14:43:55,373 | train.py:447 | INFO] -> Training loss: 4.334185505307973
[2023-08-20 14:43:55,379 | train.py:448 | INFO] -> Training RDS: 0.6419712038651176
[2023-08-20 14:43:55,379 | train.py:449 | INFO] -> Training MA: 67.74533021112555
[2023-08-20 14:46:19,604 | train.py:530 | INFO] -> Validation loss: 14.842992494639741
[2023-08-20 14:46:19,605 | train.py:532 | INFO] -> Validation RDS: 0.6962611725613407
[2023-08-20 14:46:19,605 | train.py:534 | INFO] -> Validation MA: 58.94840357837067
[2023-08-20 14:46:19,607 | train.py:323 | INFO] -> Epoch 3
[2023-08-20 15:29:40,427 | train.py:447 | INFO] -> Training loss: 3.9306142054192006
