[2023-08-21 10:19:29,530 | train.py:229 | INFO] -> Preparing dataloaders...
[2023-08-21 10:19:29,530 | train.py:263 | INFO] -> Using train subset of size 100
[2023-08-21 10:19:30,013 | train.py:291 | INFO] -> Using val subset of size 50
[2023-08-21 10:19:30,700 | train.py:231 | INFO] -> Dataloaders ready.
[2023-08-21 10:19:30,701 | train.py:235 | INFO] -> Using chekpoint hash 0cb4b67e9a79f5ca74c7e54ac2950efa0d2a8392, starting from epoch 0
[2023-08-21 10:19:30,701 | train.py:324 | INFO] -> Starting training...
[2023-08-21 10:19:30,701 | train.py:326 | INFO] -> Epoch 0
[2023-08-21 10:19:58,259 | train.py:450 | INFO] -> Training loss: 2.6912410259246826
[2023-08-21 10:19:58,259 | train.py:451 | INFO] -> Training RDS: 0.20059509739279746
[2023-08-21 10:19:58,259 | train.py:452 | INFO] -> Training MA: 174.69499725341797
[2023-08-21 10:20:06,676 | train.py:533 | INFO] -> Validation loss: 5.338557591805091
[2023-08-21 10:20:06,676 | train.py:535 | INFO] -> Validation RDS: 0.1447811691233745
[2023-08-21 10:20:06,676 | train.py:537 | INFO] -> Validation MA: 205.83238689716046
[2023-08-21 10:20:06,677 | train.py:326 | INFO] -> Epoch 1
[2023-08-21 10:20:20,132 | train.py:450 | INFO] -> Training loss: 2.6219664192199708
[2023-08-21 10:20:20,132 | train.py:451 | INFO] -> Training RDS: 0.2518704503774643
[2023-08-21 10:20:20,132 | train.py:452 | INFO] -> Training MA: 146.78220977783204
[2023-08-21 10:20:24,570 | train.py:533 | INFO] -> Validation loss: 3.518932635967548
[2023-08-21 10:20:24,570 | train.py:535 | INFO] -> Validation RDS: 0.17636333749844477
[2023-08-21 10:20:24,570 | train.py:537 | INFO] -> Validation MA: 183.42268723707932
[2023-08-21 10:20:24,570 | train.py:331 | INFO] -> Saving checkpoint...
[2023-08-21 10:20:24,843 | train.py:326 | INFO] -> Epoch 2
