[2023-08-25 21:00:56,721 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-25 21:00:56,721 | train.py:280 | INFO] -> Using full train dataset
[2023-08-25 21:00:57,614 | train.py:308 | INFO] -> Using full val dataset
[2023-08-25 21:00:58,203 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-25 21:00:58,203 | train.py:237 | INFO] -> Using chekpoint hash 1f3ad15d53c3ecc1fc7b0dcd293d80222fdeb998, starting from epoch 0
[2023-08-25 21:00:58,203 | train.py:326 | INFO] -> Starting training...
[2023-08-25 21:00:58,203 | train.py:328 | INFO] -> Epoch 0
[2023-08-25 21:26:21,354 | train.py:452 | INFO] -> Training loss: 7.723899302076582
[2023-08-25 21:26:21,357 | train.py:453 | INFO] -> Training RDS: 0.4371871242962651
[2023-08-25 21:26:21,357 | train.py:454 | INFO] -> Training MA: 109.31982796879139
[2023-08-25 21:29:07,488 | train.py:535 | INFO] -> Validation loss: 5.702145244546993
[2023-08-25 21:29:07,488 | train.py:537 | INFO] -> Validation RDS: 0.5821085646599828
[2023-08-25 21:29:07,488 | train.py:539 | INFO] -> Validation MA: 74.54850801022467
[2023-08-25 21:29:07,488 | train.py:328 | INFO] -> Epoch 1
[2023-08-25 21:53:40,223 | train.py:452 | INFO] -> Training loss: 5.183683815071715
[2023-08-25 21:53:40,232 | train.py:453 | INFO] -> Training RDS: 0.5924670811114146
[2023-08-25 21:53:40,232 | train.py:454 | INFO] -> Training MA: 72.31423761962016
[2023-08-25 21:56:25,006 | train.py:535 | INFO] -> Validation loss: 4.956509179340865
[2023-08-25 21:56:25,006 | train.py:537 | INFO] -> Validation RDS: 0.6589566354980012
[2023-08-25 21:56:25,006 | train.py:539 | INFO] -> Validation MA: 58.29576217438171
[2023-08-25 21:56:25,007 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-25 21:56:25,417 | train.py:328 | INFO] -> Epoch 2
[2023-08-25 22:21:01,160 | train.py:452 | INFO] -> Training loss: 4.14754399313284
[2023-08-25 22:21:01,163 | train.py:453 | INFO] -> Training RDS: 0.6418956321535618
[2023-08-25 22:21:01,163 | train.py:454 | INFO] -> Training MA: 61.345859889737824
[2023-08-25 22:23:43,918 | train.py:535 | INFO] -> Validation loss: 4.259088240935655
[2023-08-25 22:23:43,918 | train.py:537 | INFO] -> Validation RDS: 0.6898166782960682
[2023-08-25 22:23:43,919 | train.py:539 | INFO] -> Validation MA: 52.462938982569526
[2023-08-25 22:23:43,919 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-25 22:23:43,920 | train.py:328 | INFO] -> Epoch 3
[2023-08-25 22:48:17,126 | train.py:452 | INFO] -> Training loss: 3.5904299581695507
[2023-08-25 22:48:17,129 | train.py:453 | INFO] -> Training RDS: 0.6668200383896401
[2023-08-25 22:48:17,129 | train.py:454 | INFO] -> Training MA: 55.78103239715244
[2023-08-25 22:50:59,336 | train.py:535 | INFO] -> Validation loss: 4.676143623159793
[2023-08-25 22:50:59,336 | train.py:537 | INFO] -> Validation RDS: 0.71095927883527
[2023-08-25 22:50:59,337 | train.py:539 | INFO] -> Validation MA: 46.8932400787186
[2023-08-25 22:50:59,337 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-25 22:50:59,716 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-25 22:50:59,717 | train.py:328 | INFO] -> Epoch 4
[2023-08-25 23:15:35,819 | train.py:452 | INFO] -> Training loss: 2.9805775230406177
[2023-08-25 23:15:35,827 | train.py:453 | INFO] -> Training RDS: 0.6933900255219796
[2023-08-25 23:15:35,827 | train.py:454 | INFO] -> Training MA: 49.74762265541748
[2023-08-25 23:18:19,066 | train.py:535 | INFO] -> Validation loss: 4.472112594547862
[2023-08-25 23:18:19,066 | train.py:537 | INFO] -> Validation RDS: 0.7222831616858523
[2023-08-25 23:18:19,066 | train.py:539 | INFO] -> Validation MA: 45.21998889907867
[2023-08-25 23:18:19,067 | train.py:328 | INFO] -> Epoch 5
[2023-08-25 23:42:56,846 | train.py:452 | INFO] -> Training loss: 2.7877782163743148
[2023-08-25 23:42:56,855 | train.py:453 | INFO] -> Training RDS: 0.7042495812303698
[2023-08-25 23:42:56,855 | train.py:454 | INFO] -> Training MA: 47.076844548293906
[2023-08-25 23:45:40,689 | train.py:535 | INFO] -> Validation loss: 4.239172219873189
[2023-08-25 23:45:40,689 | train.py:537 | INFO] -> Validation RDS: 0.7279628496208115
[2023-08-25 23:45:40,689 | train.py:539 | INFO] -> Validation MA: 43.994446436564125
[2023-08-25 23:45:40,690 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-25 23:45:41,061 | train.py:328 | INFO] -> Epoch 6
[2023-08-26 00:10:17,196 | train.py:452 | INFO] -> Training loss: 2.6854752961236494
[2023-08-26 00:10:17,204 | train.py:453 | INFO] -> Training RDS: 0.7101702821336512
[2023-08-26 00:10:17,204 | train.py:454 | INFO] -> Training MA: 46.06049152455857
[2023-08-26 00:13:01,176 | train.py:535 | INFO] -> Validation loss: 4.857366692401216
[2023-08-26 00:13:01,176 | train.py:537 | INFO] -> Validation RDS: 0.731273763313027
[2023-08-26 00:13:01,176 | train.py:539 | INFO] -> Validation MA: 43.50234808702907
[2023-08-26 00:13:01,177 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-26 00:13:01,178 | train.py:328 | INFO] -> Epoch 7
[2023-08-26 00:37:37,109 | train.py:452 | INFO] -> Training loss: 2.5497071477460516
[2023-08-26 00:37:37,112 | train.py:453 | INFO] -> Training RDS: 0.7149276341205648
[2023-08-26 00:37:37,112 | train.py:454 | INFO] -> Training MA: 44.71888178870792
[2023-08-26 00:40:19,712 | train.py:535 | INFO] -> Validation loss: 4.8792323059069655
[2023-08-26 00:40:19,713 | train.py:537 | INFO] -> Validation RDS: 0.7288775809867654
[2023-08-26 00:40:19,713 | train.py:539 | INFO] -> Validation MA: 44.05447982361692
[2023-08-26 00:40:19,713 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-26 00:40:20,091 | train.py:328 | INFO] -> Epoch 8
[2023-08-26 01:04:57,916 | train.py:452 | INFO] -> Training loss: 2.524377167465419
[2023-08-26 01:04:57,918 | train.py:453 | INFO] -> Training RDS: 0.7154735833454555
[2023-08-26 01:04:57,918 | train.py:454 | INFO] -> Training MA: 44.65279638738378
[2023-08-26 01:07:40,422 | train.py:535 | INFO] -> Validation loss: 5.041099723465666
[2023-08-26 01:07:40,422 | train.py:537 | INFO] -> Validation RDS: 0.731450775426305
[2023-08-26 01:07:40,422 | train.py:539 | INFO] -> Validation MA: 43.35053993461137
[2023-08-26 01:07:40,423 | train.py:328 | INFO] -> Epoch 9
[2023-08-26 01:32:16,118 | train.py:452 | INFO] -> Training loss: 2.484767660510646
[2023-08-26 01:32:16,121 | train.py:453 | INFO] -> Training RDS: 0.7179388359874559
[2023-08-26 01:32:16,122 | train.py:454 | INFO] -> Training MA: 44.19954609505297
[2023-08-26 01:34:59,203 | train.py:535 | INFO] -> Validation loss: 5.110412255256714
[2023-08-26 01:34:59,203 | train.py:537 | INFO] -> Validation RDS: 0.728470676613901
[2023-08-26 01:34:59,203 | train.py:539 | INFO] -> Validation MA: 44.183874918315226
[2023-08-26 01:34:59,204 | train.py:333 | INFO] -> Saving checkpoint...
