[2023-08-17 14:29:11,247 | train.py:213 | INFO] -> Preparing dataloaders...
[2023-08-17 14:29:11,248 | train.py:260 | INFO] -> Using full train dataset
[2023-08-17 14:29:11,568 | train.py:288 | INFO] -> Using full val dataset
[2023-08-17 14:29:11,720 | train.py:215 | INFO] -> Dataloaders ready.
[2023-08-17 14:29:11,720 | train.py:219 | INFO] -> Using chekpoint hash 375370c7dec4345705f3b56d76bc5a5d6a9e8230, starting from epoch 0
[2023-08-17 14:29:11,720 | train.py:306 | INFO] -> Starting training...
[2023-08-17 14:29:11,720 | train.py:308 | INFO] -> Epoch 0
[2023-08-17 15:12:03,555 | train.py:418 | INFO] -> Training loss: 6.377507696195281
[2023-08-17 15:12:03,558 | train.py:419 | INFO] -> Training RDS: 0.5704876938979375
[2023-08-17 15:14:36,549 | train.py:487 | INFO] -> Validation loss: 5.017679287962718
[2023-08-17 15:14:36,549 | train.py:489 | INFO] -> Validation RDS: 0.6698253235044
[2023-08-17 15:14:36,551 | train.py:308 | INFO] -> Epoch 1
[2023-08-17 15:56:53,631 | train.py:418 | INFO] -> Training loss: 4.628129616039529
[2023-08-17 15:56:53,635 | train.py:419 | INFO] -> Training RDS: 0.6593813210045366
[2023-08-17 15:59:12,897 | train.py:487 | INFO] -> Validation loss: 4.417328323199325
[2023-08-17 15:59:12,897 | train.py:489 | INFO] -> Validation RDS: 0.6752616603216625
[2023-08-17 15:59:12,899 | train.py:313 | INFO] -> Saving checkpoint...
[2023-08-17 15:59:13,262 | train.py:308 | INFO] -> Epoch 2
[2023-08-17 16:41:34,206 | train.py:418 | INFO] -> Training loss: 3.9086894093719247
[2023-08-17 16:41:34,209 | train.py:419 | INFO] -> Training RDS: 0.6891870395641893
[2023-08-17 16:43:53,563 | train.py:487 | INFO] -> Validation loss: 4.405325570947503
[2023-08-17 16:43:53,563 | train.py:489 | INFO] -> Validation RDS: 0.6720127501444185
[2023-08-17 16:43:53,566 | train.py:308 | INFO] -> Epoch 3
[2023-08-17 17:26:09,840 | train.py:418 | INFO] -> Training loss: 3.429784072969602
[2023-08-17 17:26:09,846 | train.py:419 | INFO] -> Training RDS: 0.7103044013590574
[2023-08-17 17:28:29,437 | train.py:487 | INFO] -> Validation loss: 4.157625265181337
[2023-08-17 17:28:29,437 | train.py:489 | INFO] -> Validation RDS: 0.6770174430521656
[2023-08-17 17:28:29,439 | train.py:313 | INFO] -> Saving checkpoint...
[2023-08-17 17:28:30,040 | train.py:308 | INFO] -> Epoch 4
[2023-08-17 18:10:47,704 | train.py:418 | INFO] -> Training loss: 3.0409994611797266
[2023-08-17 18:10:47,715 | train.py:419 | INFO] -> Training RDS: 0.7301056697216208
[2023-08-17 18:13:07,813 | train.py:487 | INFO] -> Validation loss: 3.880037424635125
[2023-08-17 18:13:07,813 | train.py:489 | INFO] -> Validation RDS: 0.6990883185711081
[2023-08-17 18:13:07,815 | train.py:308 | INFO] -> Epoch 5
[2023-08-17 18:55:23,346 | train.py:418 | INFO] -> Training loss: 2.7148699526917444
[2023-08-17 18:55:23,357 | train.py:419 | INFO] -> Training RDS: 0.7470080910684311
[2023-08-17 18:57:44,014 | train.py:487 | INFO] -> Validation loss: 4.360052116351313
[2023-08-17 18:57:44,014 | train.py:489 | INFO] -> Validation RDS: 0.6810577975832708
[2023-08-17 18:57:44,016 | train.py:313 | INFO] -> Saving checkpoint...
[2023-08-17 18:57:44,443 | train.py:308 | INFO] -> Epoch 6
