[2023-08-26 11:49:07,471 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-26 11:49:07,471 | train.py:280 | INFO] -> Using full train dataset
[2023-08-26 11:49:08,508 | train.py:308 | INFO] -> Using full val dataset
[2023-08-26 11:49:09,099 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-26 11:49:09,099 | train.py:237 | INFO] -> Using chekpoint hash 4e94b8394a92056024bd99495fd15c1e0fba2618, starting from epoch 0
[2023-08-26 11:49:09,099 | train.py:326 | INFO] -> Starting training...
[2023-08-26 11:49:09,099 | train.py:328 | INFO] -> Epoch 0
[2023-08-26 12:26:44,940 | train.py:452 | INFO] -> Training loss: 6.687891604680992
[2023-08-26 12:26:44,944 | train.py:453 | INFO] -> Training RDS: 0.535542250721885
[2023-08-26 12:26:44,944 | train.py:454 | INFO] -> Training MA: 86.08827572443616
[2023-08-26 12:30:51,439 | train.py:535 | INFO] -> Validation loss: 5.308211533747087
[2023-08-26 12:30:51,439 | train.py:537 | INFO] -> Validation RDS: 0.6448488234679962
[2023-08-26 12:30:51,439 | train.py:539 | INFO] -> Validation MA: 60.12381905277623
[2023-08-26 12:30:51,440 | train.py:328 | INFO] -> Epoch 1
[2023-08-26 13:07:38,757 | train.py:452 | INFO] -> Training loss: 4.650980914989273
[2023-08-26 13:07:38,762 | train.py:453 | INFO] -> Training RDS: 0.6367142239597045
[2023-08-26 13:07:38,762 | train.py:454 | INFO] -> Training MA: 62.308287161538956
[2023-08-26 13:11:40,540 | train.py:535 | INFO] -> Validation loss: 5.378433570484029
[2023-08-26 13:11:40,540 | train.py:537 | INFO] -> Validation RDS: 0.6865155510753195
[2023-08-26 13:11:40,540 | train.py:539 | INFO] -> Validation MA: 51.533086386882516
[2023-08-26 13:11:40,541 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-26 13:11:40,937 | train.py:328 | INFO] -> Epoch 2
[2023-08-26 13:48:27,461 | train.py:452 | INFO] -> Training loss: 3.889469252980971
[2023-08-26 13:48:27,464 | train.py:453 | INFO] -> Training RDS: 0.6692525413621969
[2023-08-26 13:48:27,464 | train.py:454 | INFO] -> Training MA: 54.74107228115678
[2023-08-26 13:52:29,305 | train.py:535 | INFO] -> Validation loss: 4.4527897666122875
[2023-08-26 13:52:29,306 | train.py:537 | INFO] -> Validation RDS: 0.7019744817410583
[2023-08-26 13:52:29,306 | train.py:539 | INFO] -> Validation MA: 48.94808814687513
[2023-08-26 13:52:29,307 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-26 13:52:29,307 | train.py:328 | INFO] -> Epoch 3
[2023-08-26 14:29:23,012 | train.py:452 | INFO] -> Training loss: 3.418389808034781
[2023-08-26 14:29:23,015 | train.py:453 | INFO] -> Training RDS: 0.6914828498099869
[2023-08-26 14:29:23,015 | train.py:454 | INFO] -> Training MA: 49.97156838572792
[2023-08-26 14:33:24,468 | train.py:535 | INFO] -> Validation loss: 5.399768446479117
[2023-08-26 14:33:24,468 | train.py:537 | INFO] -> Validation RDS: 0.7035624808303208
[2023-08-26 14:33:24,468 | train.py:539 | INFO] -> Validation MA: 48.81515675378385
[2023-08-26 14:33:24,469 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-26 14:33:24,836 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-26 14:33:24,837 | train.py:328 | INFO] -> Epoch 4
[2023-08-26 15:10:12,070 | train.py:452 | INFO] -> Training loss: 2.7595853577755074
[2023-08-26 15:10:12,076 | train.py:453 | INFO] -> Training RDS: 0.7214147495444115
[2023-08-26 15:10:12,076 | train.py:454 | INFO] -> Training MA: 43.04919115343112
[2023-08-26 15:14:14,348 | train.py:535 | INFO] -> Validation loss: 4.971685920987085
[2023-08-26 15:14:14,349 | train.py:537 | INFO] -> Validation RDS: 0.7217199248813598
[2023-08-26 15:14:14,349 | train.py:539 | INFO] -> Validation MA: 45.64790037945012
