[2023-08-23 15:05:27,698 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-23 15:05:27,698 | train.py:280 | INFO] -> Using full train dataset
[2023-08-23 15:05:27,703 | train.py:308 | INFO] -> Using full val dataset
[2023-08-23 15:05:27,706 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-23 15:05:27,706 | train.py:237 | INFO] -> Using chekpoint hash 54abb86cf758945f99c2226ff4a4e119be4cff28, starting from epoch 0
[2023-08-23 15:05:27,706 | train.py:326 | INFO] -> Starting training...
[2023-08-23 15:05:27,707 | train.py:328 | INFO] -> Epoch 0
[2023-08-23 15:33:08,397 | train.py:452 | INFO] -> Training loss: 1.2766098884435801
[2023-08-23 15:33:08,397 | train.py:453 | INFO] -> Training RDS: 0.2566889917593954
[2023-08-23 15:33:08,397 | train.py:454 | INFO] -> Training MA: 134.96264954451675
[2023-08-23 15:34:23,452 | train.py:535 | INFO] -> Validation loss: 1.12553380753683
[2023-08-23 15:34:23,452 | train.py:537 | INFO] -> Validation RDS: 0.31790474543105
[2023-08-23 15:34:23,452 | train.py:539 | INFO] -> Validation MA: 110.91721800099249
[2023-08-23 15:34:23,452 | train.py:328 | INFO] -> Epoch 1
[2023-08-23 15:59:46,880 | train.py:452 | INFO] -> Training loss: 1.203253801598217
[2023-08-23 15:59:46,889 | train.py:453 | INFO] -> Training RDS: 0.31123169977559056
[2023-08-23 15:59:46,890 | train.py:454 | INFO] -> Training MA: 111.52064082037398
[2023-08-23 16:00:51,389 | train.py:535 | INFO] -> Validation loss: 1.0624941652235778
[2023-08-23 16:00:51,390 | train.py:537 | INFO] -> Validation RDS: 0.36444224870723224
[2023-08-23 16:00:51,390 | train.py:539 | INFO] -> Validation MA: 93.69877976956575
[2023-08-23 16:00:51,390 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-23 16:00:51,618 | train.py:328 | INFO] -> Epoch 2
