[2023-08-23 23:09:00,859 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-23 23:09:00,859 | train.py:280 | INFO] -> Using full train dataset
[2023-08-23 23:09:00,865 | train.py:308 | INFO] -> Using full val dataset
[2023-08-23 23:09:00,869 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-23 23:09:00,870 | train.py:237 | INFO] -> Using chekpoint hash 81778485c256785d2e01b935f95b3d3a38617ad0, starting from epoch 0
[2023-08-23 23:09:00,870 | train.py:326 | INFO] -> Starting training...
[2023-08-23 23:09:00,870 | train.py:328 | INFO] -> Epoch 0
[2023-08-23 23:38:21,771 | train.py:452 | INFO] -> Training loss: 2.5447977610996793
[2023-08-23 23:38:21,781 | train.py:453 | INFO] -> Training RDS: 0.2728804773190519
[2023-08-23 23:38:21,781 | train.py:454 | INFO] -> Training MA: 128.49035918406952
[2023-08-23 23:41:12,063 | train.py:535 | INFO] -> Validation loss: 2.4990875202676524
[2023-08-23 23:41:12,063 | train.py:537 | INFO] -> Validation RDS: 0.28371235128978023
[2023-08-23 23:41:12,063 | train.py:539 | INFO] -> Validation MA: 124.21918653405231
[2023-08-23 23:41:12,064 | train.py:328 | INFO] -> Epoch 1
[2023-08-24 00:06:06,876 | train.py:452 | INFO] -> Training loss: 2.418033228252397
[2023-08-24 00:06:06,876 | train.py:453 | INFO] -> Training RDS: 0.31035564021094814
[2023-08-24 00:06:06,876 | train.py:454 | INFO] -> Training MA: 112.08329663957868
[2023-08-24 00:07:12,107 | train.py:535 | INFO] -> Validation loss: 2.311276990434398
[2023-08-24 00:07:12,107 | train.py:537 | INFO] -> Validation RDS: 0.3221358507871628
[2023-08-24 00:07:12,108 | train.py:539 | INFO] -> Validation MA: 103.76666027566661
[2023-08-24 00:07:12,108 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-24 00:07:12,339 | train.py:328 | INFO] -> Epoch 2
[2023-08-24 00:32:07,069 | train.py:452 | INFO] -> Training loss: 2.2746230014514572
[2023-08-24 00:32:07,069 | train.py:453 | INFO] -> Training RDS: 0.3362559695001487
[2023-08-24 00:32:07,069 | train.py:454 | INFO] -> Training MA: 102.98086218082861
[2023-08-24 00:33:12,207 | train.py:535 | INFO] -> Validation loss: 2.163278305012247
[2023-08-24 00:33:12,208 | train.py:537 | INFO] -> Validation RDS: 0.3566785856433537
[2023-08-24 00:33:12,208 | train.py:539 | INFO] -> Validation MA: 94.4572520048722
[2023-08-24 00:33:12,208 | train.py:328 | INFO] -> Epoch 3
[2023-08-24 00:58:07,149 | train.py:452 | INFO] -> Training loss: 2.1700588905767644
[2023-08-24 00:58:07,149 | train.py:453 | INFO] -> Training RDS: 0.36938143491526665
[2023-08-24 00:58:07,149 | train.py:454 | INFO] -> Training MA: 93.66584837917007
[2023-08-24 00:59:12,373 | train.py:535 | INFO] -> Validation loss: 2.033642750719319
[2023-08-24 00:59:12,373 | train.py:537 | INFO] -> Validation RDS: 0.36456981366095337
