[2023-08-22 16:53:02,585 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-22 16:53:02,585 | train.py:280 | INFO] -> Using full train dataset
[2023-08-22 16:53:03,284 | train.py:308 | INFO] -> Using full val dataset
[2023-08-22 16:53:03,848 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-22 16:53:03,849 | train.py:237 | INFO] -> Using chekpoint hash 89bd4205c787b24c25ee9ec782f9780f5d331e37, starting from epoch 0
[2023-08-22 16:53:03,849 | train.py:326 | INFO] -> Starting training...
[2023-08-22 16:53:03,849 | train.py:328 | INFO] -> Epoch 0
[2023-08-22 17:30:40,527 | train.py:452 | INFO] -> Training loss: 6.5601271879201555
[2023-08-22 17:30:40,531 | train.py:453 | INFO] -> Training RDS: 0.5438043194646826
[2023-08-22 17:30:40,531 | train.py:454 | INFO] -> Training MA: 85.92796511902807
[2023-08-22 17:34:47,770 | train.py:535 | INFO] -> Validation loss: 4.5779303078962545
[2023-08-22 17:34:47,770 | train.py:537 | INFO] -> Validation RDS: 0.6610719032595542
[2023-08-22 17:34:47,770 | train.py:539 | INFO] -> Validation MA: 57.92345925367942
[2023-08-22 17:34:47,771 | train.py:328 | INFO] -> Epoch 1
[2023-08-22 18:11:42,745 | train.py:452 | INFO] -> Training loss: 4.54330921654968
[2023-08-22 18:11:42,749 | train.py:453 | INFO] -> Training RDS: 0.6387257117929399
[2023-08-22 18:11:42,749 | train.py:454 | INFO] -> Training MA: 63.88373707583235
[2023-08-22 18:15:44,345 | train.py:535 | INFO] -> Validation loss: 4.345267550923059
[2023-08-22 18:15:44,346 | train.py:537 | INFO] -> Validation RDS: 0.6768194908864013
[2023-08-22 18:15:44,346 | train.py:539 | INFO] -> Validation MA: 57.02187342904062
[2023-08-22 18:15:44,347 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-22 18:15:44,729 | train.py:328 | INFO] -> Epoch 2
[2023-08-22 18:52:38,737 | train.py:452 | INFO] -> Training loss: 3.7823461677266734
[2023-08-22 18:52:38,743 | train.py:453 | INFO] -> Training RDS: 0.6702344142960899
[2023-08-22 18:52:38,743 | train.py:454 | INFO] -> Training MA: 56.48133846236263
[2023-08-22 18:56:41,018 | train.py:535 | INFO] -> Validation loss: 3.5923105875518764
[2023-08-22 18:56:41,018 | train.py:537 | INFO] -> Validation RDS: 0.7079061189202589
[2023-08-22 18:56:41,018 | train.py:539 | INFO] -> Validation MA: 47.65122609957557
[2023-08-22 18:56:41,020 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-22 18:56:41,020 | train.py:328 | INFO] -> Epoch 3
[2023-08-22 19:33:32,891 | train.py:452 | INFO] -> Training loss: 3.2409919617010567
[2023-08-22 19:33:32,895 | train.py:453 | INFO] -> Training RDS: 0.6944222786364326
