[2023-08-26 19:45:18,605 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-26 19:45:18,606 | train.py:280 | INFO] -> Using full train dataset
[2023-08-26 19:45:19,485 | train.py:308 | INFO] -> Using full val dataset
[2023-08-26 19:45:20,071 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-26 19:45:20,072 | train.py:237 | INFO] -> Using chekpoint hash c74ab8aa26fb5e50b1380c133d34ee9dcb9dd586, starting from epoch 0
[2023-08-26 19:45:20,072 | train.py:326 | INFO] -> Starting training...
[2023-08-26 19:45:20,072 | train.py:328 | INFO] -> Epoch 0
[2023-08-26 20:22:53,257 | train.py:452 | INFO] -> Training loss: 6.655346709712719
[2023-08-26 20:22:53,260 | train.py:453 | INFO] -> Training RDS: 0.5380603124297111
[2023-08-26 20:22:53,260 | train.py:454 | INFO] -> Training MA: 85.51078762673292
[2023-08-26 20:26:59,758 | train.py:535 | INFO] -> Validation loss: 5.056580445102941
[2023-08-26 20:26:59,758 | train.py:537 | INFO] -> Validation RDS: 0.6512310659282217
[2023-08-26 20:26:59,758 | train.py:539 | INFO] -> Validation MA: 58.46914529482947
[2023-08-26 20:26:59,759 | train.py:328 | INFO] -> Epoch 1
[2023-08-26 21:03:47,795 | train.py:452 | INFO] -> Training loss: 4.625185843385738
[2023-08-26 21:03:47,801 | train.py:453 | INFO] -> Training RDS: 0.6383685655962051
[2023-08-26 21:03:47,801 | train.py:454 | INFO] -> Training MA: 62.30173210306196
[2023-08-26 21:07:49,701 | train.py:535 | INFO] -> Validation loss: 4.654602174435094
[2023-08-26 21:07:49,701 | train.py:537 | INFO] -> Validation RDS: 0.6845211489857751
[2023-08-26 21:07:49,701 | train.py:539 | INFO] -> Validation MA: 52.21112245567311
[2023-08-26 21:07:49,702 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-26 21:07:50,081 | train.py:328 | INFO] -> Epoch 2
[2023-08-26 21:44:41,203 | train.py:452 | INFO] -> Training loss: 3.8484780773829157
[2023-08-26 21:44:41,210 | train.py:453 | INFO] -> Training RDS: 0.668902991542516
[2023-08-26 21:44:41,210 | train.py:454 | INFO] -> Training MA: 55.2102145756128
[2023-08-26 21:48:43,805 | train.py:535 | INFO] -> Validation loss: 4.350586807124624
[2023-08-26 21:48:43,805 | train.py:537 | INFO] -> Validation RDS: 0.7032244128488828
[2023-08-26 21:48:43,805 | train.py:539 | INFO] -> Validation MA: 47.95522708486463
[2023-08-26 21:48:43,806 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-26 21:48:43,807 | train.py:328 | INFO] -> Epoch 3
[2023-08-26 22:25:30,295 | train.py:452 | INFO] -> Training loss: 3.3726050141985326
[2023-08-26 22:25:30,299 | train.py:453 | INFO] -> Training RDS: 0.6915669352465623
[2023-08-26 22:25:30,299 | train.py:454 | INFO] -> Training MA: 50.01637962783637
[2023-08-26 22:29:31,206 | train.py:535 | INFO] -> Validation loss: 4.021176557645658
[2023-08-26 22:29:31,206 | train.py:537 | INFO] -> Validation RDS: 0.7161643790024098
[2023-08-26 22:29:31,206 | train.py:539 | INFO] -> Validation MA: 44.40336398151362
[2023-08-26 22:29:31,207 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-26 22:29:32,251 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-26 22:29:32,251 | train.py:328 | INFO] -> Epoch 4
