[2023-08-25 16:26:24,624 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-25 16:26:24,624 | train.py:280 | INFO] -> Using full train dataset
[2023-08-25 16:26:24,628 | train.py:308 | INFO] -> Using full val dataset
[2023-08-25 16:26:24,630 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-25 16:26:24,630 | train.py:237 | INFO] -> Using chekpoint hash castral_checkpoint, starting from epoch 6
[2023-08-25 16:26:24,630 | train.py:326 | INFO] -> Starting training...
[2023-08-25 16:26:24,630 | train.py:328 | INFO] -> Epoch 6
[2023-08-25 16:44:23,503 | train.py:452 | INFO] -> Training loss: 6.035173628388382
[2023-08-25 16:44:23,504 | train.py:453 | INFO] -> Training RDS: 0.27360171400676897
[2023-08-25 16:44:23,504 | train.py:454 | INFO] -> Training MA: 128.34509314560307
[2023-08-25 16:45:06,228 | train.py:535 | INFO] -> Validation loss: 4.400348717516119
[2023-08-25 16:45:06,228 | train.py:537 | INFO] -> Validation RDS: 0.35915039479732513
[2023-08-25 16:45:06,228 | train.py:539 | INFO] -> Validation MA: 100.51994185014205
[2023-08-25 16:45:06,228 | train.py:328 | INFO] -> Epoch 7
[2023-08-25 16:56:23,174 | train.py:452 | INFO] -> Training loss: 4.4112970858085445
[2023-08-25 16:56:23,175 | train.py:453 | INFO] -> Training RDS: 0.32923720795206907
[2023-08-25 16:56:23,175 | train.py:454 | INFO] -> Training MA: 106.04768024227484
[2023-08-25 16:56:56,593 | train.py:535 | INFO] -> Validation loss: 4.504699306054548
[2023-08-25 16:56:56,594 | train.py:537 | INFO] -> Validation RDS: 0.3433633365414359
[2023-08-25 16:56:56,594 | train.py:539 | INFO] -> Validation MA: 97.06317901611328
[2023-08-25 16:56:56,594 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-25 16:56:56,839 | train.py:328 | INFO] -> Epoch 8
[2023-08-25 17:08:13,329 | train.py:452 | INFO] -> Training loss: 3.611254214755888
[2023-08-25 17:08:13,338 | train.py:453 | INFO] -> Training RDS: 0.38837108427916117
[2023-08-25 17:08:13,338 | train.py:454 | INFO] -> Training MA: 89.1573401660454
[2023-08-25 17:08:45,736 | train.py:535 | INFO] -> Validation loss: 3.584477413784374
[2023-08-25 17:08:45,736 | train.py:537 | INFO] -> Validation RDS: 0.42704078555107117
[2023-08-25 17:08:45,736 | train.py:539 | INFO] -> Validation MA: 75.1998440135609
[2023-08-25 17:08:45,736 | train.py:328 | INFO] -> Epoch 9
[2023-08-25 17:20:02,128 | train.py:452 | INFO] -> Training loss: 3.281023805703574
[2023-08-25 17:20:02,128 | train.py:453 | INFO] -> Training RDS: 0.4061594142661831
[2023-08-25 17:20:02,128 | train.py:454 | INFO] -> Training MA: 82.59883924034553
[2023-08-25 17:20:34,759 | train.py:535 | INFO] -> Validation loss: 2.7006073255430567
[2023-08-25 17:20:34,759 | train.py:537 | INFO] -> Validation RDS: 0.42583989284255286
[2023-08-25 17:20:34,759 | train.py:539 | INFO] -> Validation MA: 73.04498637806286
[2023-08-25 17:20:34,759 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-25 17:20:35,007 | train.py:328 | INFO] -> Epoch 10
[2023-08-25 17:31:52,147 | train.py:452 | INFO] -> Training loss: 2.789333148700435
[2023-08-25 17:31:52,147 | train.py:453 | INFO] -> Training RDS: 0.43190263878039226
[2023-08-25 17:31:52,147 | train.py:454 | INFO] -> Training MA: 77.75873322215507
[2023-08-25 17:32:24,582 | train.py:535 | INFO] -> Validation loss: 3.138580644672567
