[2023-08-21 15:01:05,437 | train.py:229 | INFO] -> Preparing dataloaders...
[2023-08-21 15:01:05,437 | train.py:278 | INFO] -> Using full train dataset
[2023-08-21 15:01:06,480 | train.py:306 | INFO] -> Using full val dataset
[2023-08-21 15:01:07,076 | train.py:231 | INFO] -> Dataloaders ready.
[2023-08-21 15:01:07,076 | train.py:235 | INFO] -> Using chekpoint hash f25004b7e44453aaaefd1c17121cbf960b047b1d, starting from epoch 0
[2023-08-21 15:01:07,076 | train.py:324 | INFO] -> Starting training...
[2023-08-21 15:01:07,076 | train.py:326 | INFO] -> Epoch 0
[2023-08-21 15:45:17,472 | train.py:450 | INFO] -> Training loss: 6.159650037617988
[2023-08-21 15:45:17,474 | train.py:451 | INFO] -> Training RDS: 0.5600445305783999
[2023-08-21 15:45:17,474 | train.py:452 | INFO] -> Training MA: 87.52249275614682
[2023-08-21 15:47:53,855 | train.py:533 | INFO] -> Validation loss: 4.799824063636397
[2023-08-21 15:47:53,855 | train.py:535 | INFO] -> Validation RDS: 0.7208200461107847
[2023-08-21 15:47:53,855 | train.py:537 | INFO] -> Validation MA: 51.4430696572343
[2023-08-21 15:47:53,857 | train.py:326 | INFO] -> Epoch 1
[2023-08-21 16:31:19,284 | train.py:450 | INFO] -> Training loss: 4.06875795462088
[2023-08-21 16:31:19,287 | train.py:451 | INFO] -> Training RDS: 0.6811897726772038
[2023-08-21 16:31:19,287 | train.py:452 | INFO] -> Training MA: 59.46550354837827
[2023-08-21 16:33:44,010 | train.py:533 | INFO] -> Validation loss: 4.7249327732003445
[2023-08-21 16:33:44,010 | train.py:535 | INFO] -> Validation RDS: 0.7176045483514054
[2023-08-21 16:33:44,011 | train.py:537 | INFO] -> Validation MA: 54.47371633194353
[2023-08-21 16:33:44,012 | train.py:331 | INFO] -> Saving checkpoint...
[2023-08-21 16:33:44,378 | train.py:326 | INFO] -> Epoch 2
[2023-08-21 17:17:14,136 | train.py:450 | INFO] -> Training loss: 3.3972905337130097
[2023-08-21 17:17:14,146 | train.py:451 | INFO] -> Training RDS: 0.7103849715565982
[2023-08-21 17:17:14,146 | train.py:452 | INFO] -> Training MA: 51.870429519648965
[2023-08-21 17:19:39,261 | train.py:533 | INFO] -> Validation loss: 5.327046298545246
[2023-08-21 17:19:39,262 | train.py:535 | INFO] -> Validation RDS: 0.7433743312206442
[2023-08-21 17:19:39,262 | train.py:537 | INFO] -> Validation MA: 47.99670456098095
[2023-08-21 17:19:39,264 | train.py:326 | INFO] -> Epoch 3
[2023-08-21 18:03:06,991 | train.py:450 | INFO] -> Training loss: 2.985284381186309
[2023-08-21 18:03:06,995 | train.py:451 | INFO] -> Training RDS: 0.7294762057868858
[2023-08-21 18:03:06,995 | train.py:452 | INFO] -> Training MA: 47.09422113590589
[2023-08-21 18:05:31,417 | train.py:533 | INFO] -> Validation loss: 5.903996153441194
[2023-08-21 18:05:31,417 | train.py:535 | INFO] -> Validation RDS: 0.7303976405020718
[2023-08-21 18:05:31,417 | train.py:537 | INFO] -> Validation MA: 50.33728470105559
