[2023-08-24 14:19:19,169 | train.py:231 | INFO] -> Preparing dataloaders...
[2023-08-24 14:19:19,169 | train.py:280 | INFO] -> Using full train dataset
[2023-08-24 14:19:19,811 | train.py:308 | INFO] -> Using full val dataset
[2023-08-24 14:19:20,380 | train.py:233 | INFO] -> Dataloaders ready.
[2023-08-24 14:19:20,380 | train.py:237 | INFO] -> Using chekpoint hash f778e56871208ad5aeba0485030c2dfe4a6fc1d2, starting from epoch 0
[2023-08-24 14:19:20,380 | train.py:326 | INFO] -> Starting training...
[2023-08-24 14:19:20,380 | train.py:328 | INFO] -> Epoch 0
[2023-08-24 14:56:51,546 | train.py:452 | INFO] -> Training loss: 6.6867178638263
[2023-08-24 14:56:51,549 | train.py:453 | INFO] -> Training RDS: 0.528224482791604
[2023-08-24 14:56:51,549 | train.py:454 | INFO] -> Training MA: 89.83051502791213
[2023-08-24 15:00:58,282 | train.py:535 | INFO] -> Validation loss: 4.847904797797197
[2023-08-24 15:00:58,282 | train.py:537 | INFO] -> Validation RDS: 0.6475718274573671
[2023-08-24 15:00:58,282 | train.py:539 | INFO] -> Validation MA: 61.74090597378747
[2023-08-24 15:00:58,283 | train.py:328 | INFO] -> Epoch 1
[2023-08-24 15:37:47,233 | train.py:452 | INFO] -> Training loss: 4.71264359160941
[2023-08-24 15:37:47,236 | train.py:453 | INFO] -> Training RDS: 0.627324099666751
[2023-08-24 15:37:47,236 | train.py:454 | INFO] -> Training MA: 66.0630777131687
[2023-08-24 15:41:48,112 | train.py:535 | INFO] -> Validation loss: 4.877986351278587
[2023-08-24 15:41:48,113 | train.py:537 | INFO] -> Validation RDS: 0.6659499592930277
[2023-08-24 15:41:48,113 | train.py:539 | INFO] -> Validation MA: 57.91799102356526
[2023-08-24 15:41:48,114 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-24 15:41:48,498 | train.py:328 | INFO] -> Epoch 2
[2023-08-24 16:18:36,317 | train.py:452 | INFO] -> Training loss: 3.9518555970739735
[2023-08-24 16:18:36,320 | train.py:453 | INFO] -> Training RDS: 0.6591331906574595
[2023-08-24 16:18:36,320 | train.py:454 | INFO] -> Training MA: 58.44015539362766
[2023-08-24 16:22:37,850 | train.py:535 | INFO] -> Validation loss: 4.43128597311745
[2023-08-24 16:22:37,850 | train.py:537 | INFO] -> Validation RDS: 0.6851268807517863
[2023-08-24 16:22:37,850 | train.py:539 | INFO] -> Validation MA: 54.63545360387403
[2023-08-24 16:22:37,851 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-24 16:22:37,852 | train.py:328 | INFO] -> Epoch 3
[2023-08-24 16:59:25,632 | train.py:452 | INFO] -> Training loss: 3.4579653310573706
[2023-08-24 16:59:25,634 | train.py:453 | INFO] -> Training RDS: 0.6796903905767184
[2023-08-24 16:59:25,634 | train.py:454 | INFO] -> Training MA: 53.98028369869697
[2023-08-24 17:03:27,390 | train.py:535 | INFO] -> Validation loss: 4.796092793087508
[2023-08-24 17:03:27,391 | train.py:537 | INFO] -> Validation RDS: 0.6941896559157162
[2023-08-24 17:03:27,391 | train.py:539 | INFO] -> Validation MA: 51.42975678551848
[2023-08-24 17:03:27,391 | train.py:333 | INFO] -> Saving checkpoint...
[2023-08-24 17:03:27,752 | train.py:337 | INFO] -> Stepping scheduler...
[2023-08-24 17:03:27,752 | train.py:328 | INFO] -> Epoch 4
[2023-08-24 17:40:14,840 | train.py:452 | INFO] -> Training loss: 2.7925083924516865
[2023-08-24 17:40:14,841 | train.py:453 | INFO] -> Training RDS: 0.7109410892916457
[2023-08-24 17:40:14,841 | train.py:454 | INFO] -> Training MA: 46.5749107764426
[2023-08-24 17:44:15,298 | train.py:535 | INFO] -> Validation loss: 4.494617221041144
